Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010689
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010916
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.020025
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.011495
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.013010
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.012289
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.099591
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.014949
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.014325
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.016642
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.019300
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.017866
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.112794
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.021674
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.017929
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.196085
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010252
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.014170
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010597
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.013411
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.011205
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.012711
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010522
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010321
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010206
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.017731
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.014810
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010126
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010097
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.015162
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.009955
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010294
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.009246
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.013581
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.015278
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.009475
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.009768
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.011131
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010226
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.014985
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010211
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010354
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.009778
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010696
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.009869
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.011766
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.010490
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.016663
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.009834
Bottom-Left (Bounding Box to Area Ratio Order),6,10.6667,0.013319
