Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (User Choice),9,16.4778,0.030255
Bottom-Left (User Choice),9,16.4778,0.030065
Bottom-Left (User Choice),9,16.4778,0.036026
Bottom-Left (User Choice),9,16.4778,0.030943
Bottom-Left (User Choice),9,16.4778,0.032378
Bottom-Left (User Choice),9,16.4778,0.036930
Bottom-Left (User Choice),9,16.4778,0.030453
Bottom-Left (User Choice),9,16.4778,0.036602
Bottom-Left (User Choice),9,16.4778,0.030115
Bottom-Left (User Choice),9,16.4778,0.029970
Bottom-Left (User Choice),9,16.4778,0.028444
Bottom-Left (User Choice),9,16.4778,0.031841
Bottom-Left (User Choice),9,16.4778,0.032092
Bottom-Left (User Choice),9,16.4778,0.031523
Bottom-Left (User Choice),9,16.4778,0.029583
Bottom-Left (User Choice),9,16.4778,0.029995
Bottom-Left (User Choice),9,16.4778,0.042914
Bottom-Left (User Choice),9,16.4778,0.054114
Bottom-Left (User Choice),9,16.4778,0.037053
Bottom-Left (User Choice),9,16.4778,0.033628
Bottom-Left (User Choice),9,16.4778,0.031833
Bottom-Left (User Choice),9,16.4778,0.028783
Bottom-Left (User Choice),9,16.4778,0.032933
Bottom-Left (User Choice),9,16.4778,0.030352
Bottom-Left (User Choice),9,16.4778,0.028876
Bottom-Left (User Choice),9,16.4778,0.028312
Bottom-Left (User Choice),9,16.4778,0.030590
Bottom-Left (User Choice),9,16.4778,0.034513
Bottom-Left (User Choice),9,16.4778,0.028815
Bottom-Left (User Choice),9,16.4778,0.044713
Bottom-Left (User Choice),9,16.4778,0.046755
