Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Max Length Order),9,16.3333,0.032803
Bottom-Left (Max Length Order),9,16.3333,0.034855
Bottom-Left (Max Length Order),9,16.3333,0.036600
Bottom-Left (Max Length Order),9,16.3333,0.033410
Bottom-Left (Max Length Order),9,16.3333,0.032507
Bottom-Left (Max Length Order),9,16.3333,0.037465
Bottom-Left (Max Length Order),9,16.3333,0.033509
Bottom-Left (Max Length Order),9,16.3333,0.032387
Bottom-Left (Max Length Order),9,16.3333,0.036368
Bottom-Left (Max Length Order),9,16.3333,0.046778
Bottom-Left (Max Length Order),9,16.3333,0.036717
Bottom-Left (Max Length Order),9,16.3333,0.033051
Bottom-Left (Max Length Order),9,16.3333,0.041350
Bottom-Left (Max Length Order),9,16.3333,0.037706
Bottom-Left (Max Length Order),9,16.3333,0.035605
Bottom-Left (Max Length Order),9,16.3333,0.035412
Bottom-Left (Max Length Order),9,16.3333,0.034847
Bottom-Left (Max Length Order),9,16.3333,0.036125
Bottom-Left (Max Length Order),9,16.3333,0.040002
Bottom-Left (Max Length Order),9,16.3333,0.033199
Bottom-Left (Max Length Order),9,16.3333,0.031359
Bottom-Left (Max Length Order),9,16.3333,0.047810
Bottom-Left (Max Length Order),9,16.3333,0.039300
Bottom-Left (Max Length Order),9,16.3333,0.034488
Bottom-Left (Max Length Order),9,16.3333,0.032694
Bottom-Left (Max Length Order),9,16.3333,0.034041
Bottom-Left (Max Length Order),9,16.3333,0.033068
Bottom-Left (Max Length Order),9,16.3333,0.037500
