Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Max Length Order),6,9.2667,0.009648
Bottom-Left (Max Length Order),6,9.2667,0.009259
Bottom-Left (Max Length Order),6,9.2667,0.010761
Bottom-Left (Max Length Order),6,9.2667,0.010012
Bottom-Left (Max Length Order),6,9.2667,0.029877
Bottom-Left (Max Length Order),6,9.2667,0.009151
Bottom-Left (Max Length Order),6,9.2667,0.008914
Bottom-Left (Max Length Order),6,9.2667,0.009683
Bottom-Left (Max Length Order),6,9.2667,0.008928
Bottom-Left (Max Length Order),6,9.2667,0.009049
Bottom-Left (Max Length Order),6,9.2667,0.009212
Bottom-Left (Max Length Order),6,9.2667,0.009498
Bottom-Left (Max Length Order),6,9.2667,0.008871
Bottom-Left (Max Length Order),6,9.2667,0.008619
Bottom-Left (Max Length Order),6,9.2667,0.008968
Bottom-Left (Max Length Order),6,9.2667,0.009613
Bottom-Left (Max Length Order),6,9.2667,0.009182
Bottom-Left (Max Length Order),6,9.2667,0.016029
Bottom-Left (Max Length Order),6,9.2667,0.012987
Bottom-Left (Max Length Order),6,9.2667,0.009232
Bottom-Left (Max Length Order),6,9.2667,0.021117
Bottom-Left (Max Length Order),6,9.2667,0.008740
Bottom-Left (Max Length Order),6,9.2667,0.010473
Bottom-Left (Max Length Order),6,9.2667,0.015769
Bottom-Left (Max Length Order),6,9.2667,0.009323
Bottom-Left (Max Length Order),6,9.2667,0.009722
Bottom-Left (Max Length Order),6,9.2667,0.010214
Bottom-Left (Max Length Order),6,9.2667,0.010169
Bottom-Left (Max Length Order),6,9.2667,0.010298
Bottom-Left (Max Length Order),6,9.2667,0.009379
Bottom-Left (Max Length Order),6,9.2667,0.010615
Bottom-Left (Max Length Order),6,9.2667,0.008714
Bottom-Left (Max Length Order),6,9.2667,0.013958
Bottom-Left (Max Length Order),6,9.2667,0.009748
Bottom-Left (Max Length Order),6,9.2667,0.011854
Bottom-Left (Max Length Order),6,9.2667,0.009152
Bottom-Left (Max Length Order),6,9.2667,0.008886
Bottom-Left (Max Length Order),6,9.2667,0.009121
Bottom-Left (Max Length Order),6,9.2667,0.008854
Bottom-Left (Max Length Order),6,9.2667,0.009464
Bottom-Left (Max Length Order),6,9.2667,0.008955
Bottom-Left (Max Length Order),6,9.2667,0.008623
Bottom-Left (Max Length Order),6,9.2667,0.009174
Bottom-Left (Max Length Order),6,9.2667,0.009619
Bottom-Left (Max Length Order),6,9.2667,0.011998
Bottom-Left (Max Length Order),6,9.2667,0.009826
Bottom-Left (Max Length Order),6,9.2667,0.009852
Bottom-Left (Max Length Order),6,9.2667,0.015728
Bottom-Left (Max Length Order),6,9.2667,0.009239
Bottom-Left (Max Length Order),6,9.2667,0.008721
Bottom-Left (Max Length Order),6,9.2667,0.015649
Bottom-Left (Max Length Order),6,9.2667,0.009093
Bottom-Left (Max Length Order),6,9.2667,0.009436
Bottom-Left (Max Length Order),6,9.2667,0.009286
Bottom-Left (Max Length Order),6,9.2667,0.010378
Bottom-Left (Max Length Order),6,9.2667,0.010614
Bottom-Left (Max Length Order),6,9.2667,0.009425
Bottom-Left (Max Length Order),6,9.2667,0.009698
Bottom-Left (Max Length Order),6,9.2667,0.008892
Bottom-Left (Max Length Order),6,9.2667,0.008649
Bottom-Left (Max Length Order),6,9.2667,0.008860
Bottom-Left (Max Length Order),6,9.2667,0.008654
Bottom-Left (Max Length Order),6,9.2667,0.010946
Bottom-Left (Max Length Order),6,9.2667,0.009080
Bottom-Left (Max Length Order),6,9.2667,0.009406
Bottom-Left (Max Length Order),6,9.2667,0.009323
Bottom-Left (Max Length Order),6,9.2667,0.019100
Bottom-Left (Max Length Order),6,9.2667,0.009636
Bottom-Left (Max Length Order),6,9.2667,0.009062
Bottom-Left (Max Length Order),6,9.2667,0.009139
Bottom-Left (Max Length Order),6,9.2667,0.010021
Bottom-Left (Max Length Order),6,9.2667,0.009486
Bottom-Left (Max Length Order),6,9.2667,0.009445
Bottom-Left (Max Length Order),6,9.2667,0.017846
Bottom-Left (Max Length Order),6,9.2667,0.011046
Bottom-Left (Max Length Order),6,9.2667,0.009349
Bottom-Left (Max Length Order),6,9.2667,0.008762
Bottom-Left (Max Length Order),6,9.2667,0.009335
Bottom-Left (Max Length Order),6,9.2667,0.009048
Bottom-Left (Max Length Order),6,9.2667,0.009330
Bottom-Left (Max Length Order),6,9.2667,0.008607
Bottom-Left (Max Length Order),6,9.2667,0.013798
Bottom-Left (Max Length Order),6,9.2667,0.009279
Bottom-Left (Max Length Order),6,9.2667,0.009776
Bottom-Left (Max Length Order),6,9.2667,0.008882
Bottom-Left (Max Length Order),6,9.2667,0.011895
Bottom-Left (Max Length Order),6,9.2667,0.009971
Bottom-Left (Max Length Order),6,9.2667,0.009723
Bottom-Left (Max Length Order),6,9.2667,0.011043
Bottom-Left (Max Length Order),6,9.2667,0.010386
Bottom-Left (Max Length Order),6,9.2667,0.008925
Bottom-Left (Max Length Order),6,9.2667,0.008682
Bottom-Left (Max Length Order),6,9.2667,0.010522
Bottom-Left (Max Length Order),6,9.2667,0.009047
Bottom-Left (Max Length Order),6,9.2667,0.009617
Bottom-Left (Max Length Order),6,9.2667,0.010702
