Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Area Order),6,10.6667,0.011793
Bottom-Left (Area Order),6,10.6667,0.010957
Bottom-Left (Area Order),6,10.6667,0.012527
Bottom-Left (Area Order),6,10.6667,0.011625
Bottom-Left (Area Order),6,10.6667,0.010538
Bottom-Left (Area Order),6,10.6667,0.010346
Bottom-Left (Area Order),6,10.6667,0.009360
Bottom-Left (Area Order),6,10.6667,0.013541
Bottom-Left (Area Order),6,10.6667,0.010627
Bottom-Left (Area Order),6,10.6667,0.009615
Bottom-Left (Area Order),6,10.6667,0.009210
Bottom-Left (Area Order),6,10.6667,0.009589
Bottom-Left (Area Order),6,10.6667,0.009965
Bottom-Left (Area Order),6,10.6667,0.010870
Bottom-Left (Area Order),6,10.6667,0.010000
Bottom-Left (Area Order),6,10.6667,0.012628
Bottom-Left (Area Order),6,10.6667,0.011181
Bottom-Left (Area Order),6,10.6667,0.014405
Bottom-Left (Area Order),6,10.6667,0.011518
Bottom-Left (Area Order),6,10.6667,0.011385
Bottom-Left (Area Order),6,10.6667,0.009968
Bottom-Left (Area Order),6,10.6667,0.011559
Bottom-Left (Area Order),6,10.6667,0.010298
Bottom-Left (Area Order),6,10.6667,0.010139
Bottom-Left (Area Order),6,10.6667,0.010710
Bottom-Left (Area Order),6,10.6667,0.009627
Bottom-Left (Area Order),6,10.6667,0.010880
Bottom-Left (Area Order),6,10.6667,0.010293
Bottom-Left (Area Order),6,10.6667,0.009587
Bottom-Left (Area Order),6,10.6667,0.009483
Bottom-Left (Area Order),6,10.6667,0.010332
Bottom-Left (Area Order),6,10.6667,0.014642
Bottom-Left (Area Order),6,10.6667,0.010668
Bottom-Left (Area Order),6,10.6667,0.010156
Bottom-Left (Area Order),6,10.6667,0.011324
Bottom-Left (Area Order),6,10.6667,0.010542
Bottom-Left (Area Order),6,10.6667,0.009582
Bottom-Left (Area Order),6,10.6667,0.017084
Bottom-Left (Area Order),6,10.6667,0.010203
Bottom-Left (Area Order),6,10.6667,0.018883
Bottom-Left (Area Order),6,10.6667,0.009319
Bottom-Left (Area Order),6,10.6667,0.010043
Bottom-Left (Area Order),6,10.6667,0.011020
Bottom-Left (Area Order),6,10.6667,0.010487
Bottom-Left (Area Order),6,10.6667,0.011219
Bottom-Left (Area Order),6,10.6667,0.013278
Bottom-Left (Area Order),6,10.6667,0.011381
Bottom-Left (Area Order),6,10.6667,0.010702
Bottom-Left (Area Order),6,10.6667,0.011379
Bottom-Left (Area Order),6,10.6667,0.011824
Bottom-Left (Area Order),6,10.6667,0.013539
Bottom-Left (Area Order),6,10.6667,0.012092
Bottom-Left (Area Order),6,10.6667,0.011259
Bottom-Left (Area Order),6,10.6667,0.009870
Bottom-Left (Area Order),6,10.6667,0.010055
Bottom-Left (Area Order),6,10.6667,0.010373
Bottom-Left (Area Order),6,10.6667,0.011551
Bottom-Left (Area Order),6,10.6667,0.013575
Bottom-Left (Area Order),6,10.6667,0.013701
Bottom-Left (Area Order),6,10.6667,0.011126
Bottom-Left (Area Order),6,10.6667,0.013414
Bottom-Left (Area Order),6,10.6667,0.012795
Bottom-Left (Area Order),6,10.6667,0.009864
Bottom-Left (Area Order),6,10.6667,0.010679
Bottom-Left (Area Order),6,10.6667,0.010546
Bottom-Left (Area Order),6,10.6667,0.012501
Bottom-Left (Area Order),6,10.6667,0.010498
Bottom-Left (Area Order),6,10.6667,0.012320
Bottom-Left (Area Order),6,10.6667,0.010248
Bottom-Left (Area Order),6,10.6667,0.009419
Bottom-Left (Area Order),6,10.6667,0.010654
Bottom-Left (Area Order),6,10.6667,0.010459
Bottom-Left (Area Order),6,10.6667,0.027443
Bottom-Left (Area Order),6,10.6667,0.013214
Bottom-Left (Area Order),6,10.6667,0.009820
Bottom-Left (Area Order),6,10.6667,0.010161
Bottom-Left (Area Order),6,10.6667,0.017053
Bottom-Left (Area Order),6,10.6667,0.010851
Bottom-Left (Area Order),6,10.6667,0.011642
Bottom-Left (Area Order),6,10.6667,0.016461
Bottom-Left (Area Order),6,10.6667,0.012915
Bottom-Left (Area Order),6,10.6667,0.011675
Bottom-Left (Area Order),6,10.6667,0.010391
Bottom-Left (Area Order),6,10.6667,0.010279
Bottom-Left (Area Order),6,10.6667,0.019241
Bottom-Left (Area Order),6,10.6667,0.012156
