Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (User Choice),9,13.6667,0.031028
Bottom-Left (User Choice),9,13.6667,0.053922
Bottom-Left (User Choice),9,13.6667,0.030783
Bottom-Left (User Choice),9,13.6667,0.037657
Bottom-Left (User Choice),9,13.6667,0.036639
Bottom-Left (User Choice),9,13.6667,0.032791
Bottom-Left (User Choice),9,13.6667,0.030064
Bottom-Left (User Choice),9,13.6667,0.030612
Bottom-Left (User Choice),9,13.6667,0.030214
Bottom-Left (User Choice),9,13.6667,0.031254
Bottom-Left (User Choice),9,13.6667,0.037971
Bottom-Left (User Choice),9,13.6667,0.032189
Bottom-Left (User Choice),9,13.6667,0.032396
Bottom-Left (User Choice),9,13.6667,0.032228
Bottom-Left (User Choice),9,13.6667,0.029987
Bottom-Left (User Choice),9,13.6667,0.041862
Bottom-Left (User Choice),9,13.6667,0.030273
Bottom-Left (User Choice),9,13.6667,0.037716
Bottom-Left (User Choice),9,13.6667,0.030061
Bottom-Left (User Choice),9,13.6667,0.034917
Bottom-Left (User Choice),9,13.6667,0.042412
Bottom-Left (User Choice),9,13.6667,0.040717
Bottom-Left (User Choice),9,13.6667,0.031034
Bottom-Left (User Choice),9,13.6667,0.030599
Bottom-Left (User Choice),9,13.6667,0.030118
Bottom-Left (User Choice),9,13.6667,0.029812
Bottom-Left (User Choice),9,13.6667,0.048057
Bottom-Left (User Choice),9,13.6667,0.037481
Bottom-Left (User Choice),9,13.6667,0.034430
