Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Area Order),6,9.6667,0.012054
Bottom-Left (Area Order),6,9.6667,0.013944
Bottom-Left (Area Order),6,9.6667,0.012943
Bottom-Left (Area Order),6,9.6667,0.011238
Bottom-Left (Area Order),6,9.6667,0.010016
Bottom-Left (Area Order),6,9.6667,0.010547
Bottom-Left (Area Order),6,9.6667,0.011527
Bottom-Left (Area Order),6,9.6667,0.010760
Bottom-Left (Area Order),6,9.6667,0.017908
Bottom-Left (Area Order),6,9.6667,0.018009
Bottom-Left (Area Order),6,9.6667,0.011521
Bottom-Left (Area Order),6,9.6667,0.010355
Bottom-Left (Area Order),6,9.6667,0.012302
Bottom-Left (Area Order),6,9.6667,0.015468
Bottom-Left (Area Order),6,9.6667,0.019323
Bottom-Left (Area Order),6,9.6667,0.013293
Bottom-Left (Area Order),6,9.6667,0.010942
Bottom-Left (Area Order),6,9.6667,0.011410
Bottom-Left (Area Order),6,9.6667,0.010984
Bottom-Left (Area Order),6,9.6667,0.015701
Bottom-Left (Area Order),6,9.6667,0.017996
Bottom-Left (Area Order),6,9.6667,0.011497
Bottom-Left (Area Order),6,9.6667,0.016285
Bottom-Left (Area Order),6,9.6667,0.011253
Bottom-Left (Area Order),6,9.6667,0.012663
Bottom-Left (Area Order),6,9.6667,0.011857
Bottom-Left (Area Order),6,9.6667,0.010983
Bottom-Left (Area Order),6,9.6667,0.011849
Bottom-Left (Area Order),6,9.6667,0.010883
Bottom-Left (Area Order),6,9.6667,0.010569
Bottom-Left (Area Order),6,9.6667,0.015416
Bottom-Left (Area Order),6,9.6667,0.014972
Bottom-Left (Area Order),6,9.6667,0.011083
Bottom-Left (Area Order),6,9.6667,0.010336
Bottom-Left (Area Order),6,9.6667,0.010956
Bottom-Left (Area Order),6,9.6667,0.011153
Bottom-Left (Area Order),6,9.6667,0.010978
Bottom-Left (Area Order),6,9.6667,0.015188
Bottom-Left (Area Order),6,9.6667,0.015132
Bottom-Left (Area Order),6,9.6667,0.031353
Bottom-Left (Area Order),6,9.6667,0.013500
Bottom-Left (Area Order),6,9.6667,0.011598
Bottom-Left (Area Order),6,9.6667,0.014301
Bottom-Left (Area Order),6,9.6667,0.010965
Bottom-Left (Area Order),6,9.6667,0.011161
Bottom-Left (Area Order),6,9.6667,0.011721
Bottom-Left (Area Order),6,9.6667,0.010002
Bottom-Left (Area Order),6,9.6667,0.010748
Bottom-Left (Area Order),6,9.6667,0.021362
Bottom-Left (Area Order),6,9.6667,0.010714
Bottom-Left (Area Order),6,9.6667,0.010025
Bottom-Left (Area Order),6,9.6667,0.018783
Bottom-Left (Area Order),6,9.6667,0.012398
Bottom-Left (Area Order),6,9.6667,0.010848
Bottom-Left (Area Order),6,9.6667,0.011774
Bottom-Left (Area Order),6,9.6667,0.016752
Bottom-Left (Area Order),6,9.6667,0.014375
Bottom-Left (Area Order),6,9.6667,0.012442
Bottom-Left (Area Order),6,9.6667,0.013717
Bottom-Left (Area Order),6,9.6667,0.011523
Bottom-Left (Area Order),6,9.6667,0.015856
Bottom-Left (Area Order),6,9.6667,0.014380
Bottom-Left (Area Order),6,9.6667,0.011996
Bottom-Left (Area Order),6,9.6667,0.012538
Bottom-Left (Area Order),6,9.6667,0.017832
Bottom-Left (Area Order),6,9.6667,0.014957
Bottom-Left (Area Order),6,9.6667,0.013361
Bottom-Left (Area Order),6,9.6667,0.010600
Bottom-Left (Area Order),6,9.6667,0.010335
Bottom-Left (Area Order),6,9.6667,0.010609
Bottom-Left (Area Order),6,9.6667,0.012097
Bottom-Left (Area Order),6,9.6667,0.012416
Bottom-Left (Area Order),6,9.6667,0.013116
Bottom-Left (Area Order),6,9.6667,0.014590
Bottom-Left (Area Order),6,9.6667,0.014053
Bottom-Left (Area Order),6,9.6667,0.011650
