Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012300
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010938
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010286
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011502
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010692
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011100
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011783
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011589
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011605
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012112
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011727
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010531
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011530
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010366
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010813
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010418
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010618
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.016625
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011423
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012516
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011203
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012674
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011791
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010918
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010256
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012380
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012277
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.020437
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010925
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010420
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012857
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011326
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012408
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011054
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012564
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.015659
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.015413
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012154
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.014999
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.013877
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011612
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011486
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.016470
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.025623
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010860
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011800
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011717
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011200
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011959
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012168
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.015650
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012495
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010703
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011025
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011950
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.014733
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011511
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.013304
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012725
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011952
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.013062
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011241
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012261
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012190
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.129759
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011105
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010655
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.010948
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012899
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.012517
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.011227
Bottom-Left (Bounding Box to Area Ratio Order),6,9.6667,0.016222
