Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL user choice,6,11.8667,0.007225
MKBL user choice,6,11.8667,0.006976
MKBL user choice,6,11.8667,0.007498
MKBL user choice,6,11.8667,0.007632
MKBL user choice,6,11.8667,0.008037
MKBL user choice,6,11.8667,0.008934
MKBL user choice,6,11.8667,0.009276
MKBL user choice,6,11.8667,0.007439
MKBL user choice,6,11.8667,0.008421
MKBL user choice,6,11.8667,0.007629
MKBL user choice,6,11.8667,0.007369
MKBL user choice,6,11.8667,0.008669
MKBL user choice,6,11.8667,0.007548
MKBL user choice,6,11.8667,0.010469
MKBL user choice,6,11.8667,0.010027
MKBL user choice,6,11.8667,0.007039
MKBL user choice,6,11.8667,0.007366
MKBL user choice,6,11.8667,0.007479
MKBL user choice,6,11.8667,0.008141
MKBL user choice,6,11.8667,0.006925
MKBL user choice,6,11.8667,0.00732
MKBL user choice,6,11.8667,0.007596
MKBL user choice,6,11.8667,0.00749
MKBL user choice,6,11.8667,0.007279
MKBL user choice,6,11.8667,0.007355
MKBL user choice,6,11.8667,0.006992
MKBL user choice,6,11.8667,0.006954
MKBL user choice,6,11.8667,0.007194
MKBL user choice,6,11.8667,0.007166
MKBL user choice,6,11.8667,0.007004
MKBL user choice,6,11.8667,0.007651
MKBL user choice,6,11.8667,0.009671
MKBL user choice,6,11.8667,0.00899
MKBL user choice,6,11.8667,0.007926
MKBL user choice,6,11.8667,0.007794
MKBL user choice,6,11.8667,0.009343
MKBL user choice,6,11.8667,0.041342
MKBL user choice,6,11.8667,0.008697
MKBL user choice,6,11.8667,0.007293
MKBL user choice,6,11.8667,0.008045
MKBL user choice,6,11.8667,0.012272
MKBL user choice,6,11.8667,0.009205
MKBL user choice,6,11.8667,0.007431
MKBL user choice,6,11.8667,0.007689
MKBL user choice,6,11.8667,0.007089
MKBL user choice,6,11.8667,0.007797
MKBL user choice,6,11.8667,0.00997
MKBL user choice,6,11.8667,0.00752
MKBL user choice,6,11.8667,0.007288
MKBL user choice,6,11.8667,0.007304
MKBL user choice,6,11.8667,0.007219
MKBL user choice,6,11.8667,0.007562
MKBL user choice,6,11.8667,0.008524
MKBL user choice,6,11.8667,0.007271
MKBL user choice,6,11.8667,0.008427
MKBL user choice,6,11.8667,0.009924
MKBL user choice,6,11.8667,0.007167
MKBL user choice,6,11.8667,0.007454
MKBL user choice,6,11.8667,0.007134
MKBL user choice,6,11.8667,0.007058
MKBL user choice,6,11.8667,0.007104
MKBL user choice,6,11.8667,0.008369
MKBL user choice,6,11.8667,0.007728
MKBL user choice,6,11.8667,0.007629
MKBL user choice,6,11.8667,0.007911
MKBL user choice,6,11.8667,0.00906
MKBL user choice,6,11.8667,0.007118
MKBL user choice,6,11.8667,0.006773
MKBL user choice,6,11.8667,0.0104
MKBL user choice,6,11.8667,0.008893
MKBL user choice,6,11.8667,0.007597
MKBL user choice,6,11.8667,0.011025
MKBL user choice,6,11.8667,0.007196
MKBL user choice,6,11.8667,0.007285
MKBL user choice,6,11.8667,0.007284
MKBL user choice,6,11.8667,0.007804
MKBL user choice,6,11.8667,0.007453
MKBL user choice,6,11.8667,0.008174
MKBL user choice,6,11.8667,0.007405
MKBL user choice,6,11.8667,0.009262
MKBL user choice,6,11.8667,0.006998
MKBL user choice,6,11.8667,0.007946
MKBL user choice,6,11.8667,0.007099
MKBL user choice,6,11.8667,0.008857
MKBL user choice,6,11.8667,0.011792
MKBL user choice,6,11.8667,0.006924
MKBL user choice,6,11.8667,0.008246
MKBL user choice,6,11.8667,0.007516
MKBL user choice,6,11.8667,0.007352
MKBL user choice,6,11.8667,0.015522
MKBL user choice,6,11.8667,0.011887
MKBL user choice,6,11.8667,0.006759
MKBL user choice,6,11.8667,0.011618
MKBL user choice,6,11.8667,0.007036
MKBL user choice,6,11.8667,0.00702
MKBL user choice,6,11.8667,0.00756
MKBL user choice,6,11.8667,0.007222
MKBL user choice,6,11.8667,0.007836
MKBL user choice,6,11.8667,0.008717
MKBL user choice,6,11.8667,0.007557
MKBL user choice,6,11.8667,0.010536
MKBL user choice,6,11.8667,0.009657
MKBL user choice,6,11.8667,0.006911
MKBL user choice,6,11.8667,0.007374
MKBL user choice,6,11.8667,0.010674
MKBL user choice,6,11.8667,0.007142
MKBL user choice,6,11.8667,0.007087
MKBL user choice,6,11.8667,0.00736
MKBL user choice,6,11.8667,0.012731
MKBL user choice,6,11.8667,0.007113
MKBL user choice,6,11.8667,0.011008
MKBL user choice,6,11.8667,0.007382
MKBL user choice,6,11.8667,0.007386
MKBL user choice,6,11.8667,0.008335
MKBL user choice,6,11.8667,0.007608
MKBL user choice,6,11.8667,0.00956
MKBL user choice,6,11.8667,0.010762
MKBL user choice,6,11.8667,0.00776
MKBL user choice,6,11.8667,0.007160
