Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by length,9,16.3333,0.028455
MKBL order by length,9,16.3333,0.028427
MKBL order by length,9,16.3333,0.030817
MKBL order by length,9,16.3333,0.027231
MKBL order by length,9,16.3333,0.030048
MKBL order by length,9,16.3333,0.026789
MKBL order by length,9,16.3333,0.028105
MKBL order by length,9,16.3333,0.034671
MKBL order by length,9,16.3333,0.042791
MKBL order by length,9,16.3333,0.028832
MKBL order by length,9,16.3333,0.027475
MKBL order by length,9,16.3333,0.032216
MKBL order by length,9,16.3333,0.0279
MKBL order by length,9,16.3333,0.025354
MKBL order by length,9,16.3333,0.027377
MKBL order by length,9,16.3333,0.025703
MKBL order by length,9,16.3333,0.025911
MKBL order by length,9,16.3333,0.026301
MKBL order by length,9,16.3333,0.025573
MKBL order by length,9,16.3333,0.024501
MKBL order by length,9,16.3333,0.025878
MKBL order by length,9,16.3333,0.0253
MKBL order by length,9,16.3333,0.025646
MKBL order by length,9,16.3333,0.024488
MKBL order by length,9,16.3333,0.025307
MKBL order by length,9,16.3333,0.026989
MKBL order by length,9,16.3333,0.024069
MKBL order by length,9,16.3333,0.024371
MKBL order by length,9,16.3333,0.02588
MKBL order by length,9,16.3333,0.0274
MKBL order by length,9,16.3333,0.026464
MKBL order by length,9,16.3333,0.026498
MKBL order by length,9,16.3333,0.032679
MKBL order by length,9,16.3333,0.027853
MKBL order by length,9,16.3333,0.025953
MKBL order by length,9,16.3333,0.030770
