Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by length,9,14.0,0.0328
MKBL order by length,9,14.0,0.027376
MKBL order by length,9,14.0,0.029185
MKBL order by length,9,14.0,0.026374
MKBL order by length,9,14.0,0.027498
MKBL order by length,9,14.0,0.026909
MKBL order by length,9,14.0,0.026615
MKBL order by length,9,14.0,0.025992
MKBL order by length,9,14.0,0.028448
MKBL order by length,9,14.0,0.027569
MKBL order by length,9,14.0,0.02584
MKBL order by length,9,14.0,0.027122
MKBL order by length,9,14.0,0.026426
MKBL order by length,9,14.0,0.027547
MKBL order by length,9,14.0,0.026904
MKBL order by length,9,14.0,0.028018
MKBL order by length,9,14.0,0.030854
MKBL order by length,9,14.0,0.026148
MKBL order by length,9,14.0,0.026284
MKBL order by length,9,14.0,0.029301
MKBL order by length,9,14.0,0.026604
MKBL order by length,9,14.0,0.027537
MKBL order by length,9,14.0,0.029087
MKBL order by length,9,14.0,0.030716
MKBL order by length,9,14.0,0.028258
MKBL order by length,9,14.0,0.032196
MKBL order by length,9,14.0,0.029141
MKBL order by length,9,14.0,0.026278
MKBL order by length,9,14.0,0.027304
MKBL order by length,9,14.0,0.028755
MKBL order by length,9,14.0,0.027381
MKBL order by length,9,14.0,0.026674
MKBL order by length,9,14.0,0.027079
MKBL order by length,9,14.0,0.028626
MKBL order by length,9,14.0,0.027453
MKBL order by length,9,14.0000,0.027366
