Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by area,9,16.3333,0.02256
MKBL order by area,9,16.3333,0.026967
MKBL order by area,9,16.3333,0.024549
MKBL order by area,9,16.3333,0.022828
MKBL order by area,9,16.3333,0.023271
MKBL order by area,9,16.3333,0.023778
MKBL order by area,9,16.3333,0.024617
MKBL order by area,9,16.3333,0.02352
MKBL order by area,9,16.3333,0.024437
MKBL order by area,9,16.3333,0.02397
MKBL order by area,9,16.3333,0.025926
MKBL order by area,9,16.3333,0.024136
MKBL order by area,9,16.3333,0.023245
MKBL order by area,9,16.3333,0.025051
MKBL order by area,9,16.3333,0.023676
MKBL order by area,9,16.3333,0.022945
MKBL order by area,9,16.3333,0.024634
MKBL order by area,9,16.3333,0.023144
MKBL order by area,9,16.3333,0.025151
MKBL order by area,9,16.3333,0.02446
MKBL order by area,9,16.3333,0.02598
MKBL order by area,9,16.3333,0.023955
MKBL order by area,9,16.3333,0.024351
MKBL order by area,9,16.3333,0.025743
MKBL order by area,9,16.3333,0.023062
MKBL order by area,9,16.3333,0.024855
MKBL order by area,9,16.3333,0.024341
MKBL order by area,9,16.3333,0.023807
MKBL order by area,9,16.3333,0.023665
MKBL order by area,9,16.3333,0.024931
MKBL order by area,9,16.3333,0.02358
MKBL order by area,9,16.3333,0.024302
MKBL order by area,9,16.3333,0.025041
MKBL order by area,9,16.3333,0.024813
MKBL order by area,9,16.3333,0.027888
MKBL order by area,9,16.3333,0.023889
MKBL order by area,9,16.3333,0.023096
MKBL order by area,9,16.3333,0.023163
MKBL order by area,9,16.3333,0.0239
MKBL order by area,9,16.3333,0.026752
MKBL order by area,9,16.3333,0.023055
MKBL order by area,9,16.3333,0.023268
