Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL user choice,6,10.1,0.007858
MKBL user choice,6,10.1,0.007354
MKBL user choice,6,10.1,0.006771
MKBL user choice,6,10.1,0.00673
MKBL user choice,6,10.1,0.006573
MKBL user choice,6,10.1,0.007323
MKBL user choice,6,10.1,0.007628
MKBL user choice,6,10.1,0.007125
MKBL user choice,6,10.1,0.007043
MKBL user choice,6,10.1,0.006701
MKBL user choice,6,10.1,0.006642
MKBL user choice,6,10.1,0.006832
MKBL user choice,6,10.1,0.007001
MKBL user choice,6,10.1,0.007594
MKBL user choice,6,10.1,0.006893
MKBL user choice,6,10.1,0.006879
MKBL user choice,6,10.1,0.006648
MKBL user choice,6,10.1,0.006654
MKBL user choice,6,10.1,0.006862
MKBL user choice,6,10.1,0.006637
MKBL user choice,6,10.1,0.016864
MKBL user choice,6,10.1,0.008554
MKBL user choice,6,10.1,0.008752
MKBL user choice,6,10.1,0.007336
MKBL user choice,6,10.1,0.007347
MKBL user choice,6,10.1,0.007851
MKBL user choice,6,10.1,0.009023
MKBL user choice,6,10.1,0.00706
MKBL user choice,6,10.1,0.007302
MKBL user choice,6,10.1,0.006672
MKBL user choice,6,10.1,0.007065
MKBL user choice,6,10.1,0.006903
MKBL user choice,6,10.1,0.006544
MKBL user choice,6,10.1,0.007228
MKBL user choice,6,10.1,0.007014
MKBL user choice,6,10.1,0.007019
MKBL user choice,6,10.1,0.007144
MKBL user choice,6,10.1,0.006763
MKBL user choice,6,10.1,0.006785
MKBL user choice,6,10.1,0.006625
MKBL user choice,6,10.1,0.007275
MKBL user choice,6,10.1,0.006425
MKBL user choice,6,10.1,0.006723
MKBL user choice,6,10.1,0.006719
MKBL user choice,6,10.1,0.006846
MKBL user choice,6,10.1,0.006713
MKBL user choice,6,10.1,0.006528
MKBL user choice,6,10.1,0.006968
MKBL user choice,6,10.1,0.006784
MKBL user choice,6,10.1,0.006664
MKBL user choice,6,10.1,0.006655
MKBL user choice,6,10.1,0.006429
MKBL user choice,6,10.1,0.006809
MKBL user choice,6,10.1,0.006718
MKBL user choice,6,10.1,0.006657
MKBL user choice,6,10.1,0.006863
MKBL user choice,6,10.1,0.00692
MKBL user choice,6,10.1,0.006983
MKBL user choice,6,10.1,0.006922
MKBL user choice,6,10.1,0.006787
MKBL user choice,6,10.1,0.00678
MKBL user choice,6,10.1,0.007162
MKBL user choice,6,10.1,0.006961
MKBL user choice,6,10.1,0.007189
MKBL user choice,6,10.1,0.006899
MKBL user choice,6,10.1,0.006601
MKBL user choice,6,10.1,0.006731
MKBL user choice,6,10.1,0.007095
MKBL user choice,6,10.1,0.006959
MKBL user choice,6,10.1,0.006591
MKBL user choice,6,10.1,0.007542
MKBL user choice,6,10.1,0.006699
MKBL user choice,6,10.1,0.00736
MKBL user choice,6,10.1,0.006468
MKBL user choice,6,10.1,0.007033
MKBL user choice,6,10.1,0.006869
MKBL user choice,6,10.1,0.007403
MKBL user choice,6,10.1,0.006882
MKBL user choice,6,10.1,0.006859
MKBL user choice,6,10.1,0.007292
MKBL user choice,6,10.1,0.006959
MKBL user choice,6,10.1,0.007536
MKBL user choice,6,10.1,0.006763
MKBL user choice,6,10.1,0.006346
MKBL user choice,6,10.1,0.006978
MKBL user choice,6,10.1,0.0068
MKBL user choice,6,10.1,0.007127
MKBL user choice,6,10.1,0.006671
MKBL user choice,6,10.1,0.006734
MKBL user choice,6,10.1,0.007475
MKBL user choice,6,10.1,0.007331
MKBL user choice,6,10.1,0.007513
MKBL user choice,6,10.1,0.006888
MKBL user choice,6,10.1,0.006639
MKBL user choice,6,10.1,0.007188
MKBL user choice,6,10.1,0.006348
MKBL user choice,6,10.1,0.006977
MKBL user choice,6,10.1,0.00713
MKBL user choice,6,10.1,0.006752
MKBL user choice,6,10.1,0.006785
MKBL user choice,6,10.1,0.007143
MKBL user choice,6,10.1,0.006943
MKBL user choice,6,10.1,0.006887
MKBL user choice,6,10.1,0.007064
MKBL user choice,6,10.1,0.006627
MKBL user choice,6,10.1,0.006868
MKBL user choice,6,10.1,0.006735
MKBL user choice,6,10.1,0.006997
MKBL user choice,6,10.1,0.007101
MKBL user choice,6,10.1,0.006595
MKBL user choice,6,10.1,0.006999
MKBL user choice,6,10.1,0.007128
MKBL user choice,6,10.1,0.007084
MKBL user choice,6,10.1,0.006657
MKBL user choice,6,10.1,0.006838
MKBL user choice,6,10.1,0.006736
MKBL user choice,6,10.1,0.007131
MKBL user choice,6,10.1,0.007215
MKBL user choice,6,10.1,0.006961
MKBL user choice,6,10.1,0.006479
MKBL user choice,6,10.1,0.006633
MKBL user choice,6,10.1,0.006542
MKBL user choice,6,10.1,0.006645
MKBL user choice,6,10.1,0.006897
MKBL user choice,6,10.1,0.006537
MKBL user choice,6,10.1,0.006775
MKBL user choice,6,10.1,0.006587
MKBL user choice,6,10.1,0.006737
MKBL user choice,6,10.1,0.006908
MKBL user choice,6,10.1,0.006737
MKBL user choice,6,10.1,0.007104
MKBL user choice,6,10.1,0.006729
MKBL user choice,6,10.1,0.006551
MKBL user choice,6,10.1,0.006662
MKBL user choice,6,10.1,0.007131
MKBL user choice,6,10.1,0.006863
MKBL user choice,6,10.1,0.0068
MKBL user choice,6,10.1,0.006877
MKBL user choice,6,10.1,0.008064
MKBL user choice,6,10.1,0.006759
MKBL user choice,6,10.1,0.006637
MKBL user choice,6,10.1,0.006724
MKBL user choice,6,10.1000,0.007052
