Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by area,6,9.6667,0.007533
MKBL order by area,6,9.6667,0.008093
MKBL order by area,6,9.6667,0.008194
MKBL order by area,6,9.6667,0.007715
MKBL order by area,6,9.6667,0.007513
MKBL order by area,6,9.6667,0.007584
MKBL order by area,6,9.6667,0.008051
MKBL order by area,6,9.6667,0.007468
MKBL order by area,6,9.6667,0.007489
MKBL order by area,6,9.6667,0.008661
MKBL order by area,6,9.6667,0.007933
MKBL order by area,6,9.6667,0.007613
MKBL order by area,6,9.6667,0.007284
MKBL order by area,6,9.6667,0.008224
MKBL order by area,6,9.6667,0.007572
MKBL order by area,6,9.6667,0.007533
MKBL order by area,6,9.6667,0.00852
MKBL order by area,6,9.6667,0.007722
MKBL order by area,6,9.6667,0.007668
MKBL order by area,6,9.6667,0.007826
MKBL order by area,6,9.6667,0.007148
MKBL order by area,6,9.6667,0.008278
MKBL order by area,6,9.6667,0.007942
MKBL order by area,6,9.6667,0.007785
MKBL order by area,6,9.6667,0.008535
MKBL order by area,6,9.6667,0.008085
MKBL order by area,6,9.6667,0.007486
MKBL order by area,6,9.6667,0.007349
MKBL order by area,6,9.6667,0.008419
MKBL order by area,6,9.6667,0.007714
MKBL order by area,6,9.6667,0.00759
MKBL order by area,6,9.6667,0.007866
MKBL order by area,6,9.6667,0.007692
MKBL order by area,6,9.6667,0.00786
MKBL order by area,6,9.6667,0.007532
MKBL order by area,6,9.6667,0.0075
MKBL order by area,6,9.6667,0.007792
MKBL order by area,6,9.6667,0.007781
MKBL order by area,6,9.6667,0.007505
MKBL order by area,6,9.6667,0.008036
MKBL order by area,6,9.6667,0.007771
MKBL order by area,6,9.6667,0.007996
MKBL order by area,6,9.6667,0.007371
MKBL order by area,6,9.6667,0.008148
MKBL order by area,6,9.6667,0.008198
MKBL order by area,6,9.6667,0.007662
MKBL order by area,6,9.6667,0.008149
MKBL order by area,6,9.6667,0.008198
MKBL order by area,6,9.6667,0.007741
MKBL order by area,6,9.6667,0.007504
MKBL order by area,6,9.6667,0.008275
MKBL order by area,6,9.6667,0.007814
MKBL order by area,6,9.6667,0.008467
MKBL order by area,6,9.6667,0.008053
MKBL order by area,6,9.6667,0.008553
MKBL order by area,6,9.6667,0.00805
MKBL order by area,6,9.6667,0.007684
MKBL order by area,6,9.6667,0.007695
MKBL order by area,6,9.6667,0.007589
MKBL order by area,6,9.6667,0.008314
MKBL order by area,6,9.6667,0.007114
MKBL order by area,6,9.6667,0.007212
MKBL order by area,6,9.6667,0.007888
MKBL order by area,6,9.6667,0.007305
MKBL order by area,6,9.6667,0.007431
MKBL order by area,6,9.6667,0.008245
MKBL order by area,6,9.6667,0.008261
MKBL order by area,6,9.6667,0.013753
MKBL order by area,6,9.6667,0.008744
MKBL order by area,6,9.6667,0.008959
MKBL order by area,6,9.6667,0.008398
MKBL order by area,6,9.6667,0.008238
MKBL order by area,6,9.6667,0.007621
MKBL order by area,6,9.6667,0.009327
MKBL order by area,6,9.6667,0.009377
MKBL order by area,6,9.6667,0.008696
MKBL order by area,6,9.6667,0.0088
MKBL order by area,6,9.6667,0.009406
MKBL order by area,6,9.6667,0.008276
MKBL order by area,6,9.6667,0.007622
MKBL order by area,6,9.6667,0.007625
MKBL order by area,6,9.6667,0.007712
MKBL order by area,6,9.6667,0.007542
MKBL order by area,6,9.6667,0.007584
MKBL order by area,6,9.6667,0.007774
MKBL order by area,6,9.6667,0.008264
MKBL order by area,6,9.6667,0.008626
MKBL order by area,6,9.6667,0.008065
MKBL order by area,6,9.6667,0.00783
MKBL order by area,6,9.6667,0.007853
MKBL order by area,6,9.6667,0.007786
MKBL order by area,6,9.6667,0.0082
MKBL order by area,6,9.6667,0.007711
MKBL order by area,6,9.6667,0.007505
MKBL order by area,6,9.6667,0.007802
MKBL order by area,6,9.6667,0.008215
MKBL order by area,6,9.6667,0.007916
MKBL order by area,6,9.6667,0.010522
MKBL order by area,6,9.6667,0.008488
MKBL order by area,6,9.6667,0.008558
MKBL order by area,6,9.6667,0.008328
MKBL order by area,6,9.6667,0.008519
MKBL order by area,6,9.6667,0.007565
MKBL order by area,6,9.6667,0.007897
MKBL order by area,6,9.6667,0.007587
MKBL order by area,6,9.6667,0.007664
MKBL order by area,6,9.6667,0.009216
MKBL order by area,6,9.6667,0.007414
MKBL order by area,6,9.6667,0.007548
MKBL order by area,6,9.6667,0.007641
MKBL order by area,6,9.6667,0.008057
MKBL order by area,6,9.6667,0.00764
MKBL order by area,6,9.6667,0.008123
MKBL order by area,6,9.6667,0.007637
MKBL order by area,6,9.6667,0.007642
MKBL order by area,6,9.6667,0.008552
MKBL order by area,6,9.6667,0.007841
MKBL order by area,6,9.6667,0.00749
MKBL order by area,6,9.6667,0.007515
MKBL order by area,6,9.6667,0.007953
MKBL order by area,6,9.6667,0.008454
MKBL order by area,6,9.6667,0.008337
MKBL order by area,6,9.6667,0.00752
MKBL order by area,6,9.6667,0.007418
MKBL order by area,6,9.6667,0.007555
